Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled
Engine Speed,rpm,x,%01.0f,0xb0009c7c,2,FALSE,0,7000,-1,10000,0,TRUE
Eng State,,x,%01.0f,0xd0012ac7,1,FALSE,0,6,-1000,1000,0,TRUE
Lambda,,x / 32767.99999999992,%01.2f,0xb0009908,2,FALSE,0.75,1.25,-100,100,0,TRUE
LAMB_SP_FIL_HOM,,x * 0.0000610352,%01.2f,0xb000c0bc,2,FALSE,0.75,1.25,-100,100,0,TRUE
MAF_COR,,x / 327.6799999999992,%01.1f,0xb000bafc,2,TRUE,-1,1,-100,100,0,TRUE
MAP,kPa,x / 1000,%01.1f,0xb0008360,4,FALSE,0,320,-1,350,0,TRUE
FAC_LAM_COR,,x * 0.00152588,%01.1f,0xb000c044,2,TRUE,-50,50,-100,100,0,TRUE
state_lam,,x,%01.0f,0xd0017c0f,1,FALSE,0,4,-1000,1000,0,TRUE
FAC_DIF_LAM_IN,,x * 0.0000305176,%01.2f,0xb000c01c,2,TRUE,-1,1,-100,100,0,TRUE
Comb Mode,,x,%01.0f,0xd0012836,1,FALSE,0,26,-100,100,0,TRUE
