Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled
DV Position,%,x / 655.36,%01.0f,0xb000950c,2,FALSE,0,100,-10,500,0,TRUE
Engine Speed,rpm,x,%01.0f,0xb0009c7c,2,FALSE,0,7000,-1,10000,0,TRUE
Exh Flow Fac,,x / 16384,%01.2f,0xb000957c,2,FALSE,0,2,-1,10,0,TRUE
Int Flow Fac,,x / 16384,%01.2f,0xb0009582,2,FALSE,0,2,-1000,1000,0,TRUE
Pedal Pos,%,x / 10.24,%01.1f,0xb000984c,2,FALSE,0,100,-1000,1000,0,TRUE
PUT SP,kpa,x / 120.60176665,%01.1f,0xb000967a,2,FALSE,0,320,-1,350,0,TRUE
PUT,kpa,x / 1000,%01.1f,0xb0008394,4,FALSE,0,320,-1,350,0,TRUE
Valve Lift Pos,,x,%01.0f,0xd0017f62,1,FALSE,0,1,-1000,1000,0,TRUE
WG Pos Final,%,x / 655.3599999999997,%01.1f,0xb000958e,2,FALSE,0,100,-1000,1000,0,TRUE
WG Pos Base,%,x / 655.3599999999997,%01.1f,0xd000773c,2,FALSE,0,100,-1000,1000,0,TRUE
PUT I Inhibit,,x,%01.0f,0xd00005b8,1,FALSE,0,1,-1000,1000,0,TRUE
